row,A,B,item
305,,SASSIN 6WAY 3PHASE,SASSIN 6WAY 3PHASE
306,,MAIN DISTRIBUTION BOARD,MAIN DISTRIBUTION BOARD
308,,SASSIN 8WAY 3PHASE,SASSIN 8WAY 3PHASE
309,,SASSIN 12WAY 3PHASE,SASSIN 12WAY 3PHASE
310,,ELITE 6WAY SINGLE PHASE,ELITE 6WAY SINGLE PHASE
311,,ELITE 8WAY SINGLE PHASE,ELITE 8WAY SINGLE PHASE
312,,ELITE 4WAY 3PHASE,ELITE 4WAY 3PHASE
313,,ELITE 4WAY 1PHASE,ELITE 4WAY 1PHASE
316,,MAIN SWITCH BREAKERS (ELITE & SASSIN),MAIN SWITCH BREAKERS (ELITE & SASSIN)
317,,ELITE 6A 1POLE,ELITE 6A 1POLE
318,,ELITE 10A 1POLE,ELITE 10A 1POLE
319,,ELITE 16A 1POLE,ELITE 16A 1POLE
320,,ELITE 20A 1POLE,ELITE 20A 1POLE
321,,ELITE 25A 1POLE,ELITE 25A 1POLE
322,,ELITE 32A 1POLE,ELITE 32A 1POLE
323,,ELITE 63A 1POLE,ELITE 63A 1POLE
324,,ELITE 40A 1POLE,ELITE 40A 1POLE
325,,ELITE 32A 2POLE,ELITE 32A 2POLE
326,,ELITE 32A 3POLE,ELITE 32A 3POLE
327,,ELITE 63A 3POLE,ELITE 63A 3POLE
328,,ELITE 100A 3POLE,ELITE 100A 3POLE
329,,ELITE 32A 2POLE BREAKER WITH COVER (COMPLETE),ELITE 32A 2POLE BREAKER WITH COVER (COMPLETE)
332,,SASSIN 100A ACCELERATOR,SASSIN 100A ACCELERATOR
333,,SASSIN 6A 1POLE,SASSIN 6A 1POLE
334,,SASSIN 10A 1POLE,SASSIN 10A 1POLE
335,,SASSIN 16A 1 POLE,SASSIN 16A 1 POLE
336,,SASSIN 20A 1POLE,SASSIN 20A 1POLE
337,,SASSIN 25A 1POLE,SASSIN 25A 1POLE
338,,SASSIN 32A 1POLE,SASSIN 32A 1POLE
339,,SASSIN 40A 1POLE,SASSIN 40A 1POLE
340,,SASSIN 63A 1POLE,SASSIN 63A 1POLE
341,,SASSIN 10A 2POLE,SASSIN 10A 2POLE
342,,SASSIN 16A 2POLE,SASSIN 16A 2POLE
343,,SASSIN 20A 2POLE,SASSIN 20A 2POLE
344,,SASSIN 32A 2POLE,SASSIN 32A 2POLE
345,,SASSIN 40A 2POLE,SASSIN 40A 2POLE
346,,SASSIN 40A 4POLE,SASSIN 40A 4POLE
347,,SASSIN 63A 4POLE,SASSIN 63A 4POLE
350,,RCCD (SASSIN),RCCD (SASSIN)
351,,32A 2POLE RCCD (SASSIN),32A 2POLE RCCD (SASSIN)
352,,40A 2POLE RCCD (SASSIN),40A 2POLE RCCD (SASSIN)
353,,63A 2POLE RCCD (SASSIN),63A 2POLE RCCD (SASSIN)
354,,63A 4POLE RCCD (SASSIN),63A 4POLE RCCD (SASSIN)
355,,100A 4POLE RCCD (SASSIN),100A 4POLE RCCD (SASSIN)
358,,STABILIZER (SASSIN),STABILIZER (SASSIN)
359,,1500VA,1500VA
360,,3000V,3000V
361,,32A CHANGEOVER,32A CHANGEOVER
362,,63A 4P TPN,63A 4P TPN
363,,100A 4P TPN,100A 4P TPN
364,,1 POLE BREAKER COVER,1 POLE BREAKER COVER
365,,4 POLE BREAKER COVER,4 POLE BREAKER COVER
368,,15A AVS GUARD,15A AVS GUARD
369,,5A FRIDGE GUARD,5A FRIDGE GUARD
370,,13A FRIDGE GUARD,13A FRIDGE GUARD
371,,4POLE BREAKER COVER,4POLE BREAKER COVER
372,,1POLE BREAKER COVER,1POLE BREAKER COVER
373,,2POLE BREAKER COVER,2POLE BREAKER COVER
374,,WALL PINS L/S,WALL PINS L/S
375,,WALL PINS S/S,WALL PINS S/S
376,CP200GE,DOUBLE SOCKET FRAME,CP200GE + DOUBLE SOCKET FRAME
377,CP200WD,DOUBLE SOCKET FRAME WOOD,CP200WD + DOUBLE SOCKET FRAME WOOD
378,CP200CR,DOUBLE SOCKET FRAME CR,CP200CR + DOUBLE SOCKET FRAME CR
